,Cell,MSE,Passed,MAPE
1154,ALCTR24L,112.47,0.000000,8.55
4282,ALCTR26L,83.88,0.005983,8.26
4148,ALCTR27L,105.13,0.000997,7.29
2453,ALCTR31L,63.03,0.001994,6.01
2001,ALCTR32L,222.68,0.000997,10.89
106,ALCTR33L,509.40,0.000000,18.85
1037,ALCTR36L,150.64,0.000997,11.12
18,ALCTR37L,134.97,0.000000,9.01
3665,ALCTR41L,35.59,0.011965,3.99
1742,ALCTR42L,201.73,0.002010,11.79
4387,ALCTR43L,77.02,0.000000,6.63
1279,ALCTR46L,147.04,0.000515,9.74
4930,ALCTR47L,139.53,0.000997,9.63
4112,ALGCY16L,195.63,0.000997,11.87
4312,ALGCY17L,78.24,0.002992,6.55
4665,ALGCY26L,332.36,0.000000,13.48
2138,ALGCY27L,78.65,0.001995,5.88
4663,ALGCY32L,172.66,0.002989,8.58
745,ALGCY33L,157.36,0.000994,9.02
2742,ALGCY36L,215.51,0.000992,11.82
4155,ALGCY37L,46.29,0.001994,4.76
4964,ALGIS12L,61.27,0.000996,6.00
2867,ALGIS13L,44.83,0.000998,5.33
1479,ALGIS14L,92.98,0.001029,8.49
2796,ALGIS17L,122.89,0.000000,8.72
1576,ALGIS21L,22.93,0.000000,3.91
1610,ALGIS22L,57.47,0.002992,5.15
1272,ALGIS23L,37.13,0.000998,4.48
3577,ALGIS24L,91.86,0.002001,7.81
2832,ALGIS27L,36.40,0.002994,4.63
2998,ALGIS31L,62.90,0.000000,5.45
1146,ALGIS32L,33.90,0.000997,4.34
472,ALGIS33L,43.61,0.000000,4.00
4527,ALGIS34L,127.15,0.000998,8.34
375,ALGIS37L,56.27,0.000000,5.86
1644,ALISM11L,82.22,0.000000,5.77
3454,ALISM12L,489.62,0.002992,18.40
962,ALISM13L,125.54,0.002994,8.41
4792,ALISM17L,100.29,0.003989,6.87
4486,ALISM21L,14.44,0.003985,2.88
2698,ALISM22L,226.07,0.008020,11.00
4682,ALISM23L,114.59,0.000000,8.60
3590,ALISM27L,88.47,0.001995,7.00
4999,ALISM31L,37.33,0.001995,4.63
2330,ALISM32L,193.76,0.002991,10.28
4507,ALISM33L,113.30,0.000997,8.53
2589,ALISM37L,120.74,0.000000,7.78
244,ALKGI12L,422.90,0.002009,16.25
