,Cell,MSE,Passed,MAPE
197,BODIN33L,54.40,0.001993,5.48
4796,BODIN34L,79.99,0.002992,6.35
1763,BODIN37L,135.82,0.002045,9.21
1938,BODLE17L,24.48,0.000000,3.58
3645,BODLE27L,41.42,0.000000,5.00
4917,BODLE32L,35.50,0.000000,4.72
3019,BODLE33L,189.12,0.008054,11.94
1176,BODLE37L,55.47,0.000000,5.97
527,BODMA11L,75.25,0.000000,6.89
317,BODMA12L,64.02,0.000000,6.33
4192,BODMA17L,102.16,0.000000,5.91
1377,BODMA21L,20.68,0.002015,3.52
5064,BODMA22L,62.21,0.000000,5.77
2175,BODMA27L,29.18,0.000000,3.79
89,BODMA77L,287.24,0.000000,13.49
3934,BODMR17L,80.28,0.000000,7.21
4150,BODMR27L,1349.61,0.000000,29.72
5019,BODMR37L,51.88,0.000000,5.53
3333,BODOZ17L,14.13,0.002013,3.07
4230,BODOZ27L,197.17,0.000000,10.28
3190,BODOZ37L,29.58,0.000000,4.16
402,BODOZ77L,106.70,0.010028,8.24
4710,BODPI11L,27.28,0.003024,3.87
3258,BODPI12L,113.68,0.000000,8.50
4263,BODPI13L,68.29,0.000000,6.64
2291,BODPI17L,122.76,0.000000,8.14
1081,BODPI21L,103.80,0.000000,8.25
1339,BODPI22L,181.12,0.008023,10.61
4059,BODPI23L,139.25,0.000000,8.90
2621,BODPI27L,135.24,0.008048,9.06
3132,BODPI31L,46.14,0.000000,5.16
3551,BODPI32L,212.61,0.000000,10.98
5165,BODPI33L,111.16,0.000000,8.64
2185,BODPI37L,144.09,0.000000,9.06
3848,BODRA12L,440.92,0.000000,15.96
2594,BODRA13L,159.73,0.002045,10.29
3691,BODRA17L,172.75,0.002991,10.37
654,BODRA22L,45.68,0.008019,5.29
1295,BODRA23L,27.57,0.000000,4.15
94,BODRA27L,104.29,0.000000,7.61
3178,BODRA77L,290.81,0.008017,12.89
2489,BODTG17L,61.29,0.000000,5.95
2026,BODTG27L,61.32,0.000000,5.15
2413,BODTK17L,40.06,0.000000,4.64
5179,BODTK22L,48.70,0.000000,5.27
4945,BODTK23L,26.46,0.000000,3.96
2837,BODTK27L,89.84,0.008018,7.34
2534,BODTK37L,83.69,0.000000,7.16
3396,BODTT11L,8.70,0.000000,2.27
183,BODTT12L,20.34,0.000000,3.74
734,BODTT13L,12.46,0.000000,2.67
2744,BODTT14L,40.70,0.000000,5.08
56,BODTT17L,13.67,0.000000,2.68
568,BODTT21L,8.73,0.000000,2.25
635,BODTT22L,14.43,0.000000,3.16
4327,BODTT23L,12.00,0.000000,2.54
3674,BODTT24L,77.07,0.001995,6.92
4544,BODTT27L,6.85,0.000000,2.13
