,Cell,MSE,Passed,MAPE
1884,YAKCU22L,48.87,0.002960,5.38
1885,ALOVA21L,32.75,0.009907,3.27
1886,GIRLU33L,72.98,0.000000,7.35
1887,MITOW13L,42.86,0.000000,5.13
1888,ALAOT11L,68.74,0.002021,6.47
1889,BIATA22L,116.26,0.000000,5.65
1890,KUCBU12L,81.58,0.008024,7.02
1891,ILDAH12L,168.75,0.000000,10.34
1892,KRCBG37L,71.62,0.000000,6.91
1893,PALRE14L,17.64,0.008052,2.20
1894,KRSGK22L,45.33,0.000000,5.40
1895,CESAD21L,75.92,0.000000,6.18
1896,KIZYA17L,82.86,0.000000,6.73
1897,BOVAL17L,86.72,0.000000,6.89
1898,KRKBR23L,118.21,0.000000,8.35
1899,CEALA12L,110.17,0.002015,8.57
1900,TURGZ17L,14.57,0.000000,2.88
1901,KREVA32L,46.90,0.010093,5.54
1902,KRTSA11L,74.70,0.002023,5.29
1903,KRTCK21L,12.92,0.000000,2.53
1904,RAHBA21L,11.87,0.000000,2.60
1905,GMSLK13L,57.77,0.000000,5.58
1906,YUNFA32L,85.49,0.008017,7.13
1907,KRKBC21L,5.12,0.000000,1.79
1908,YASAN17L,32.04,0.002016,4.55
1909,KRTEY32L,193.53,0.010070,10.45
1910,KRGTM23L,137.93,0.010041,8.96
1911,KRZAM33L,92.21,0.002950,6.80
1912,TUGIR14L,12.40,0.008048,2.75
1913,ALCCA12L,227.48,0.000000,12.68
1914,SWBIZ12L,348.17,0.000000,13.72
1915,BAGYL11L,52.08,0.008023,5.42
1916,PILAJ21L,33.42,0.002022,4.62
1917,KRHAS82L,46.95,0.010074,5.12
1918,DAYOL37L,163.65,0.008023,10.16
1919,YAKUM13L,79.07,0.008019,7.25
1920,GIRLU12L,86.11,0.002641,7.46
1921,BODGU33L,83.22,0.001103,7.09
1922,YASUM33L,28.34,0.000998,4.19
1923,CENOW17L,345.83,0.000000,13.76
1924,KRKBC12L,81.91,0.003604,7.98
1925,YASTI17L,210.30,0.008034,12.08
1926,KARHS47L,21.65,0.000000,3.69
